deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,apple_artist_id,artist_id_source,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_variant,error_message,prior_review_reason,raw_payload_persisted
graph_album:album|kurtis blow|tough:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|kurtis blow|tough,graph_album,album,Kurtis Blow,Tough,1982,us,artist_album_resolver_no_safe_album_match,57693,existing_graph_artist_link,3,35,1442217354,Kurtis Blow,,,apple_album_search_no_auto_match,false
graph_album:album|larry heard|sceneries not songs volume one:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|larry heard|sceneries not songs volume one,graph_album,album,Larry Heard,"Sceneries Not Songs, Volume One",1994,us,artist_album_resolver_no_safe_album_match,2899960,existing_graph_artist_link,3,40,1402122508,Alien,,,apple_album_search_no_auto_match,false
graph_album:album|link wray|link wray and the wraymen:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|link wray|link wray and the wraymen,graph_album,album,Link Wray,Link Wray & the Wraymen,1960,us,artist_album_resolver_no_safe_album_match,5325084,existing_graph_artist_link,2,7,545183367,Rumble (Remastered) - Single,,,apple_album_search_no_auto_match,false
graph_album:album|little feat|waiting for columbus:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|little feat|waiting for columbus,graph_album,album,Little Feat,Waiting for Columbus,1978,us,artist_album_resolver_no_safe_album_match,166601,existing_graph_artist_link,9,52,286857514,Waiting for Columbus (Deluxe Edition) [Live],,,apple_album_search_no_auto_match,false
graph_album:album|little river band|greatest hits:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|little river band|greatest hits,graph_album,album,Little River Band,Greatest Hits,1982,us,artist_album_resolver_no_safe_album_match,553680,existing_graph_artist_link,5,49,1647730866,First Under The Wire (Remastered 2022),,,apple_album_search_no_auto_match,false
graph_album:album|ll cool j|bigger and deffer:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|ll cool j|bigger and deffer,graph_album,album,LL Cool J,Bigger and Deffer,1987,us,artist_album_resolver_no_safe_album_match,50311,existing_graph_artist_link,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|ll cool j|radio:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|ll cool j|radio,graph_album,album,LL Cool J,Radio,1985,us,artist_album_resolver_no_safe_album_match,50311,existing_graph_artist_link,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|lydia lunch|queen of siam:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|lydia lunch|queen of siam,graph_album,album,Lydia Lunch,Queen of Siam,1980,us,artist_album_resolver_no_safe_album_match,3200041,apple_artist_search_ephemeral,1,7,1540689616,Some Velvet Morning - Single,,,apple_album_search_no_results,false
graph_album:album|mahalia jackson|world s greatest gospel singer:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|mahalia jackson|world s greatest gospel singer,graph_album,album,Mahalia Jackson,The World's Greatest Gospel Singer,1955,us,artist_album_resolver_no_safe_album_match,26168,existing_graph_artist_link,2,45,1032610100,Bless This House,,,apple_album_search_no_auto_match,false
graph_album:album|major lance|monkey time:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|major lance|monkey time,graph_album,album,Major Lance,The Monkey Time,1963,us,artist_album_resolver_no_safe_album_match,461773,existing_graph_artist_link,3,48,704790161,The Monkey Time (Remastered) - Single,,,apple_album_search_no_auto_match,false
graph_album:album|massive attack|blue lines:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|massive attack|blue lines,graph_album,album,Massive Attack,Blue Lines,1991,us,artist_album_resolver_no_safe_album_match,526404,existing_graph_artist_link,9,73,715864097,Blue Lines (2012 Mix/Master),,,apple_album_search_no_auto_match,false
graph_album:album|maverick city music|maverick city vol 3 part 1:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|maverick city music|maverick city vol 3 part 1,graph_album,album,Maverick City Music,Maverick City Vol. 3 Part 1,2020,us,artist_album_resolver_no_safe_album_match,1474458790,existing_graph_artist_link,36,7,1600590563,Firm Foundation (He Won't) - Single,,,apple_album_search_no_auto_match,false
graph_album:album|megadeth|peace sells but who is buying:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|megadeth|peace sells but who is buying,graph_album,album,Megadeth,Peace Sells... but Who is Buying?,1986,us,artist_album_resolver_no_safe_album_match,488289,existing_graph_artist_link,6,113,1440837699,Peace Sells... But Who's Buying?,,,apple_album_search_no_auto_match,false
graph_album:album|minor threat|complete discography:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|minor threat|complete discography,graph_album,album,Minor Threat,Complete Discography,1989,us,artist_album_resolver_no_safe_album_match,49249573,existing_graph_artist_link,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|misfits|walk among us:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|misfits|walk among us,graph_album,album,Misfits,Walk Among Us,1982,us,artist_album_resolver_no_safe_album_match,116250,existing_graph_artist_link,3,45,714724772,"Earth A.D. / Die, Die My Darling",,,apple_album_search_no_auto_match,false
graph_album:album|moby grape|moby grape:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|moby grape|moby grape,graph_album,album,Moby Grape,Moby Grape,1967,us,artist_album_resolver_no_safe_album_match,18751465,apple_artist_search_ephemeral,4,28,267031218,Moby Grape 69' (Bonus Track Version),,,apple_album_search_no_auto_match,false
graph_album:album|monks|black monk time:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|monks|black monk time,graph_album,album,The Monks,Black Monk Time,1966,us,artist_album_resolver_no_safe_album_match,201246132,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|motorhead|no sleep til hammersmith:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|motorhead|no sleep til hammersmith,graph_album,album,Motorhead,No Sleep 'til Hammersmith,1981,us,artist_album_resolver_no_safe_album_match,539605,existing_graph_artist_link,25,37,1439442940,Ace of Spades (Expanded Edition),,,apple_album_search_no_auto_match,false
graph_album:album|move|move:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|move|move,graph_album,album,The Move,The Move,1968,us,artist_album_resolver_no_safe_album_match,14885365,apple_artist_search_ephemeral,2,40,1443068636,Shazam,,,apple_album_search_no_auto_match,false
